DATA_NAME,SORT,TRIAL,DURATION[ms]
50000/50000/1,quick,2,9
50000/50000/1,quick,3,10
50000/50000/1,quick,4,11
50000/50000/1,quick,5,29
50000/50000/1,quick,6,15
50000/50000/1,quick,7,12
50000/50000/1,quick,8,16
50000/50000/1,quick,9,20
50000/50000/1_almost,quick,0,12
50000/50000/1_almost,quick,1,7
50000/50000/1_almost,quick,2,9
50000/50000/1_almost,quick,3,9
50000/50000/1_almost,quick,4,13
50000/50000/1_almost,quick,5,7
50000/50000/1_almost,quick,6,8
50000/50000/1_almost,quick,7,9
50000/50000/1_almost,quick,8,8
50000/50000/1_almost,quick,9,10
50000/50000/2,quick,0,16
50000/50000/2,quick,1,13
50000/50000/2,quick,2,11
50000/50000/2,quick,3,15
50000/50000/2,quick,4,17
50000/50000/2,quick,5,39
50000/50000/2,quick,6,41
50000/50000/2,quick,7,13
50000/50000/2,quick,8,12
50000/50000/2,quick,9,12
50000/50000/2_almost,quick,0,10
50000/50000/2_almost,quick,1,6
50000/50000/2_almost,quick,2,6
50000/50000/2_almost,quick,3,8
50000/50000/2_almost,quick,4,7
50000/50000/2_almost,quick,5,8
50000/50000/2_almost,quick,6,5
50000/50000/2_almost,quick,7,7
50000/50000/2_almost,quick,8,8
50000/50000/2_almost,quick,9,7
50000/50000/3,quick,0,10
50000/50000/3,quick,1,12
50000/50000/3,quick,2,10
50000/50000/3,quick,3,11
50000/50000/3,quick,4,9
50000/50000/3,quick,5,10
50000/50000/3,quick,6,11
50000/50000/3,quick,7,10
50000/50000/3,quick,8,9
50000/50000/3,quick,9,10
50000/50000/3_almost,quick,0,5
50000/50000/3_almost,quick,1,5
50000/50000/3_almost,quick,2,6
50000/50000/3_almost,quick,3,7
50000/50000/3_almost,quick,4,6
50000/50000/3_almost,quick,5,7
50000/50000/3_almost,quick,6,8
50000/50000/3_almost,quick,7,6
50000/50000/3_almost,quick,8,7
50000/50000/3_almost,quick,9,5
50000/50000/4,quick,0,9
50000/50000/4,quick,1,8
50000/50000/4,quick,2,47
50000/50000/4,quick,3,20
50000/50000/4,quick,4,12
50000/50000/4,quick,5,9
50000/50000/4,quick,6,12
50000/50000/4,quick,7,10
50000/50000/4,quick,8,11
50000/50000/4,quick,9,9
50000/50000/4_almost,quick,0,5
50000/50000/4_almost,quick,1,7
50000/50000/4_almost,quick,2,7
50000/50000/4_almost,quick,3,5
50000/50000/4_almost,quick,4,6
50000/50000/4_almost,quick,5,8
50000/50000/4_almost,quick,6,5
50000/50000/4_almost,quick,7,5
50000/50000/4_almost,quick,8,7
50000/50000/4_almost,quick,9,6
100000/100000/0,quick,0,20
100000/100000/0,quick,1,25
100000/100000/0,quick,2,20
100000/100000/0,quick,3,19
100000/100000/0,quick,4,19
100000/100000/0,quick,5,19
100000/100000/0,quick,6,21
100000/100000/0,quick,7,18
100000/100000/0,quick,8,21
100000/100000/0,quick,9,21
100000/100000/0_almost,quick,0,12
100000/100000/0_almost,quick,1,126
100000/100000/0_almost,quick,2,19
100000/100000/0_almost,quick,3,16
100000/100000/0_almost,quick,4,14
100000/100000/0_almost,quick,5,16
100000/100000/0_almost,quick,6,14
100000/100000/0_almost,quick,7,12
100000/100000/0_almost,quick,8,13
100000/100000/0_almost,quick,9,17
100000/100000/1,quick,0,23
100000/100000/1,quick,1,24
100000/100000/1,quick,2,23
100000/100000/1,quick,3,24
100000/100000/1,quick,4,32
100000/100000/1,quick,5,27
100000/100000/1,quick,6,24
100000/100000/1,quick,7,30
100000/100000/1,quick,8,30
100000/100000/1,quick,9,28
100000/100000/1_almost,quick,0,15
100000/100000/1_almost,quick,1,16
100000/100000/1_almost,quick,2,16
100000/100000/1_almost,quick,3,44
100000/100000/1_almost,quick,4,21
100000/100000/1_almost,quick,5,18
100000/100000/1_almost,quick,6,17
100000/100000/1_almost,quick,7,16
100000/100000/1_almost,quick,8,22
100000/100000/1_almost,quick,9,13
100000/100000/2,quick,0,23
100000/100000/2,quick,1,24
100000/100000/2,quick,2,21
100000/100000/2,quick,3,19
100000/100000/2,quick,4,20
100000/100000/2,quick,5,22
100000/100000/2,quick,6,18
100000/100000/2,quick,7,17
100000/100000/2,quick,8,18
100000/100000/2,quick,9,26
100000/100000/2_almost,quick,0,14
100000/100000/2_almost,quick,1,14
100000/100000/2_almost,quick,2,15
100000/100000/2_almost,quick,3,13
100000/100000/2_almost,quick,4,12
100000/100000/2_almost,quick,5,16
100000/100000/2_almost,quick,6,13
100000/100000/2_almost,quick,7,13
100000/100000/2_almost,quick,8,13
100000/100000/2_almost,quick,9,13
100000/100000/3,quick,0,24
100000/100000/3,quick,1,20
100000/100000/3,quick,2,20
100000/100000/3,quick,3,21
100000/100000/3,quick,4,24
100000/100000/3,quick,5,23
100000/100000/3,quick,6,26
100000/100000/3,quick,7,23
100000/100000/3,quick,8,26
100000/100000/3,quick,9,25
100000/100000/3_almost,quick,0,15
100000/100000/3_almost,quick,1,13
100000/100000/3_almost,quick,2,11
100000/100000/3_almost,quick,3,12
100000/100000/3_almost,quick,4,11
100000/100000/3_almost,quick,5,13
100000/100000/3_almost,quick,6,13
100000/100000/3_almost,quick,7,18
100000/100000/3_almost,quick,8,16
100000/100000/3_almost,quick,9,12
100000/100000/4,quick,0,24
100000/100000/4,quick,1,21
100000/100000/4,quick,2,23
100000/100000/4,quick,3,20
100000/100000/4,quick,4,22
100000/100000/4,quick,5,23
100000/100000/4,quick,6,25
100000/100000/4,quick,7,24
100000/100000/4,quick,8,24
100000/100000/4,quick,9,26
100000/100000/4_almost,quick,0,17
100000/100000/4_almost,quick,1,19
100000/100000/4_almost,quick,2,19
100000/100000/4_almost,quick,3,19
100000/100000/4_almost,quick,4,16
100000/100000/4_almost,quick,5,27
100000/100000/4_almost,quick,6,13
100000/100000/4_almost,quick,7,14
100000/100000/4_almost,quick,8,15
100000/100000/4_almost,quick,9,16
500000/500000/0,quick,0,112
500000/500000/0,quick,1,112
500000/500000/0,quick,2,116
500000/500000/0,quick,3,101
500000/500000/0,quick,4,147
500000/500000/0,quick,5,128
500000/500000/0,quick,6,94
500000/500000/0,quick,7,114
500000/500000/0,quick,8,109
500000/500000/0,quick,9,102
500000/500000/0_almost,quick,0,92
500000/500000/0_almost,quick,1,108
500000/500000/0_almost,quick,2,65
500000/500000/0_almost,quick,3,69
500000/500000/0_almost,quick,4,76
500000/500000/0_almost,quick,5,72
500000/500000/0_almost,quick,6,63
500000/500000/0_almost,quick,7,58
500000/500000/0_almost,quick,8,74
500000/500000/0_almost,quick,9,71
